Episode no = 10; won: False; Q(s,a) = nan; reward = -452.0; and epsilon = 0.9986666666666667, win percentage = 0.0, 2022-05-01 19:18:27
Episode no = 20; won: False; Q(s,a) = nan; reward = -462.0; and epsilon = 0.9973333333333333, win percentage = 0.0, 2022-05-01 19:18:31
Episode no = 30; won: False; Q(s,a) = nan; reward = -471.0; and epsilon = 0.996, win percentage = 0.0, 2022-05-01 19:18:35
Episode no = 40; won: False; Q(s,a) = nan; reward = -392.0; and epsilon = 0.9946666666666667, win percentage = 0.0, 2022-05-01 19:18:40
Episode no = 50; won: False; Q(s,a) = nan; reward = -434.0; and epsilon = 0.9933333333333333, win percentage = 0.0, 2022-05-01 19:18:42
Episode no = 60; won: False; Q(s,a) = nan; reward = -475.0; and epsilon = 0.992, win percentage = 0.0, 2022-05-01 19:18:44
Episode no = 70; won: False; Q(s,a) = -0.7289987614379323; reward = -480.0; and epsilon = 0.9906666666666667, win percentage = 0.0, 2022-05-01 19:18:48
Episode no = 80; won: False; Q(s,a) = 0.012287055994049636; reward = -475.0; and epsilon = 0.9893333333333333, win percentage = 0.0, 2022-05-01 19:18:55
Episode no = 90; won: False; Q(s,a) = nan; reward = -494.0; and epsilon = 0.988, win percentage = 0.0, 2022-05-01 19:18:58
Episode no = 100; won: False; Q(s,a) = 0.014487389409039876; reward = -446.0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2022-05-01 19:19:03
Episode no = 110; won: False; Q(s,a) = nan; reward = -461.0; and epsilon = 0.9853333333333333, win percentage = 0.0, 2022-05-01 19:19:52
Episode no = 120; won: False; Q(s,a) = 1.5166794720802959; reward = -434.0; and epsilon = 0.984, win percentage = 0.0, 2022-05-01 19:21:26
Episode no = 130; won: False; Q(s,a) = -0.19944324718218825; reward = -432.0; and epsilon = 0.9826666666666667, win percentage = 0.0, 2022-05-01 19:22:35
Episode no = 140; won: False; Q(s,a) = 2.9336541853462275; reward = -471.0; and epsilon = 0.9813333333333333, win percentage = 0.0, 2022-05-01 19:23:35
Episode no = 150; won: False; Q(s,a) = 11.245424766686927; reward = -418.0; and epsilon = 0.98, win percentage = 0.0, 2022-05-01 19:24:46
Episode no = 160; won: False; Q(s,a) = 5.588877097203721; reward = -463.0; and epsilon = 0.9786666666666667, win percentage = 0.0, 2022-05-01 19:26:02
Episode no = 170; won: False; Q(s,a) = nan; reward = -441.0; and epsilon = 0.9773333333333334, win percentage = 0.0, 2022-05-01 19:27:43
Episode no = 180; won: False; Q(s,a) = -0.601618060120996; reward = -402.0; and epsilon = 0.976, win percentage = 0.0, 2022-05-01 19:28:58
Episode no = 190; won: False; Q(s,a) = -0.0664098581587049; reward = -427.0; and epsilon = 0.9746666666666667, win percentage = 0.0, 2022-05-01 19:31:07
Episode no = 200; won: False; Q(s,a) = nan; reward = -491.0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2022-05-01 19:32:29
Episode no = 10; won: False; Q(s,a) = nan; reward = -476.0; and epsilon = 0.9986666666666667, win percentage = 0.0, 2022-05-01 19:35:50
Episode no = 20; won: False; Q(s,a) = nan; reward = -408.0; and epsilon = 0.9973333333333333, win percentage = 0.0, 2022-05-01 19:35:55
Episode no = 30; won: False; Q(s,a) = nan; reward = -470.0; and epsilon = 0.996, win percentage = 0.0, 2022-05-01 19:35:59
Episode no = 40; won: False; Q(s,a) = nan; reward = -485.0; and epsilon = 0.9946666666666667, win percentage = 0.0, 2022-05-01 19:36:03
Episode no = 50; won: False; Q(s,a) = nan; reward = -414.0; and epsilon = 0.9933333333333333, win percentage = 0.0, 2022-05-01 19:36:07
Episode no = 60; won: False; Q(s,a) = nan; reward = -472.0; and epsilon = 0.992, win percentage = 0.0, 2022-05-01 19:36:10
Episode no = 70; won: False; Q(s,a) = nan; reward = -490.0; and epsilon = 0.9906666666666667, win percentage = 0.0, 2022-05-01 19:36:13
Episode no = 80; won: False; Q(s,a) = nan; reward = -470.0; and epsilon = 0.9893333333333333, win percentage = 0.0, 2022-05-01 19:36:16
Episode no = 90; won: False; Q(s,a) = nan; reward = -432.0; and epsilon = 0.988, win percentage = 0.0, 2022-05-01 19:36:19
Episode no = 100; won: False; Q(s,a) = 0.05042536364628544; reward = -495.0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2022-05-01 19:36:23
Episode no = 110; won: False; Q(s,a) = nan; reward = -488.0; and epsilon = 0.9853333333333333, win percentage = 0.0, 2022-05-01 19:36:25
Episode no = 120; won: False; Q(s,a) = 13.27430388421536; reward = -458.0; and epsilon = 0.984, win percentage = 0.0, 2022-05-01 19:36:27
Episode no = 130; won: False; Q(s,a) = 0.7685024293119904; reward = -152.0; and epsilon = 0.9826666666666667, win percentage = 0.0, 2022-05-01 19:36:32
Episode no = 140; won: False; Q(s,a) = nan; reward = -494.0; and epsilon = 0.9813333333333333, win percentage = 0.0, 2022-05-01 19:36:35
Episode no = 150; won: False; Q(s,a) = nan; reward = -442.0; and epsilon = 0.98, win percentage = 0.0, 2022-05-01 19:36:38
Episode no = 160; won: False; Q(s,a) = -1.3475189818443813; reward = -557.0; and epsilon = 0.9786666666666667, win percentage = 0.0, 2022-05-01 19:36:43
Episode no = 170; won: False; Q(s,a) = nan; reward = -492.0; and epsilon = 0.9773333333333334, win percentage = 0.0, 2022-05-01 19:36:46
Episode no = 180; won: False; Q(s,a) = 3.59930142096404; reward = -465.0; and epsilon = 0.976, win percentage = 0.0, 2022-05-01 19:36:50
Episode no = 190; won: False; Q(s,a) = nan; reward = -494.0; and epsilon = 0.9746666666666667, win percentage = 0.0, 2022-05-01 19:36:53
Episode no = 200; won: False; Q(s,a) = -0.5999282218884968; reward = -367.0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2022-05-01 19:36:58
Episode no = 210; won: False; Q(s,a) = 14.721704799885416; reward = -394.0; and epsilon = 0.972, win percentage = 0.0, 2022-05-01 19:37:01
Episode no = 220; won: False; Q(s,a) = 0.5102116593607262; reward = -443.0; and epsilon = 0.9706666666666667, win percentage = 0.0, 2022-05-01 19:37:05
